product_name,product_price,product_quantity,date_updated
Bagel - Whole White Sesame,430,97,11/1/2018
Sauce - Caesar Dressing,825,16,4/10/2019
Shiratamako - Rice Flour,799,71,3/7/2018
Tart - Raisin And Pecan,106,86,1/18/2019
Radish,247,22,11/6/2018
Juice - V8 Splash,115,67,1/13/2018
Red Currants,677,49,10/1/2018
Soup - Base Broth Beef,544,62,3/9/2019
Tomatoes Tear Drop Yellow,64,73,2/9/2019
Mussels - Cultivated,934,24,7/31/2018
"Bread - Crumbs, Bulk",449,88,1/12/2019
"Beans - Long, Chinese",473,47,9/22/2018
"Beans - Navy, Dry",460,44,1/20/2018
"Basil - Dry, Rubbed",869,21,2/4/2018
Apple - Granny Smith,506,72,1/12/2018
"Lid - High Heat, Super Clear",123,5,2/9/2018
Oranges - Navel,478,46,6/6/2018
Berry Brulee,759,50,8/25/2018
Lobster - Canned Premium,761,57,4/15/2018
Ham - Procutinni,570,8,1/9/2019
Veal - Ground,767,5,12/19/2018
Oil - Cooking Spray,420,6,6/11/2018
"Extract - Vanilla,artificial",291,20,6/8/2018
"Mushroom - Porcini, Dry",814,71,7/26/2018
Wine - Chateau Bonnet,741,54,3/10/2018
Mac and Cheese,455,30,7/2/2020
